Model,Total,ROUGE1,ROUGEL,BLEU,METEOR,BERTScore_F1,Sem_Match
llama-3.3-70b-versatile,1000,0.3587,0.2912,0.1258,0.293,0.668,0.618
moonshotai/kimi-k2-instruct-0905,1000,0.3034,0.2341,0.0742,0.2362,0.6477,0.814
openai/gpt-oss-20b,989,0.3389,0.2493,0.0936,0.2978,0.6604,0.8584
qwen/qwen3-32b,1000,0.3181,0.2436,0.0852,0.2586,0.6544,0.823
openai/gpt-oss-120b,1000,0.34,0.249,0.1008,0.3037,0.6653,0.913
google/gemma-3-27b-it,1000,0.3456,0.2605,0.1031,0.2908,0.6665,0.865
mistralai/mistral-saba,1000,0.3299,0.2644,0.0975,0.2605,0.6585,0.599
deepseek/deepseek-v3.2,1000,0.3333,0.2469,0.0922,0.2774,0.6626,0.8599
z-ai/glm-5,1000,0.3579,0.2718,0.1205,0.308,0.6577,0.9076
