Model,Total,Accuracy,F1,Precision,Recall,ROC_AUC
llama-3.3-70b-versatile,1000,0.572,0.4216,0.268,0.9873,0.7407
moonshotai/kimi-k2-instruct-0905,1000,0.684,0.4803,0.3244,0.9241,0.7815
openai/gpt-oss-20b,994,0.8109,0.5,0.4253,0.6065,0.7275
qwen/qwen3-32b,1000,0.749,0.501,0.3652,0.7975,0.7687
openai/gpt-oss-120b,1000,0.758,0.4646,0.3571,0.6646,0.72
google/gemma-3-27b-it,1000,0.429,0.3533,0.2152,0.9873,0.6558
deepseek/deepseek-v3.2,997,0.6399,0.4602,0.3012,0.9745,0.776
mistralai/mistral-saba,1000,0.34,0.3224,0.1924,0.9937,0.6055
z-ai/glm-5,923,0.8288,0.538,0.4623,0.6434,0.7531
