Model,Total,ROUGE1,ROUGEL,BLEU,METEOR,BERTScore_F1,Sem_Match
llama-3.3-70b-versatile,1000,0.5946,0.5911,0.2282,0.5212,0.7794,0.823
moonshotai/kimi-k2-instruct-0905,1000,0.5941,0.5901,0.227,0.5137,0.7786,0.826
openai/gpt-oss-20b,997,0.5776,0.5743,0.2157,0.4902,0.7613,0.8395
qwen/qwen3-32b,1000,0.5511,0.5476,0.1981,0.4779,0.7444,0.844
z-ai/glm-5,990,0.6095,0.6046,0.2394,0.5502,0.7851,0.8525
openai/gpt-oss-120b,1000,0.5771,0.5733,0.2154,0.502,0.7655,0.842
deepseek/deepseek-v3.2,1000,0.6069,0.6029,0.2385,0.5335,0.7864,0.861
google/gemma-3-27b-it,1000,0.6094,0.6055,0.2403,0.5379,0.7726,0.84
mistralai/mistral-saba,1000,0.5871,0.583,0.2303,0.5238,0.7795,0.825
